Exporting,Importing,Item,Value,VWC,VWT
"China, mainland",United Kingdom of Great Britain and Northern Ireland,"Peas, green",266.0,445,118370.0
"China, mainland",Viet Nam,"Peas, green",1949.28,445,867429.6
Colombia,Spain,"Peas, green",8.03,445,3573.35
Colombia,United States of America,"Peas, green",0.19,445,84.55
Croatia,Serbia,"Peas, green",0.23,445,102.35000000000001
Czechia,Netherlands (Kingdom of the),"Peas, green",3.75,445,1668.75
Czechia,Poland,"Peas, green",1077.76,445,479603.2
Czechia,Slovakia,"Peas, green",149.64,445,66589.79999999999
Czechia,Sweden,"Peas, green",0.0,445,0.0
Democratic Republic of the Congo,Rwanda,"Peas, green",14.21,445,6323.450000000001
Denmark,Netherlands (Kingdom of the),"Peas, green",21.48,445,9558.6
Denmark,Norway,"Peas, green",1351.07,445,601226.15
Denmark,Sweden,"Peas, green",180.48,445,80313.59999999999
Dominican Republic,United States of America,"Peas, green",0.14,445,62.300000000000004
Egypt,Bahrain,"Peas, green",0.96,445,427.2
Egypt,Belgium,"Peas, green",489.06,445,217631.7
Egypt,Brazil,"Peas, green",0.0,445,0.0
Egypt,Canada,"Peas, green",0.33,445,146.85
Egypt,Denmark,"Peas, green",35.89,445,15971.050000000001
Ethiopia,Belgium,"Peas, green",4.95,445,2202.75
Ethiopia,Djibouti,"Peas, green",0.08,445,35.6
Fiji,Australia,"Peas, green",0.77,445,342.65000000000003
France,Austria,"Peas, green",0.04,445,17.8
France,Belgium,"Peas, green",52633.59,445,23421947.549999997
France,Denmark,"Peas, green",1.33,445,591.85
Gabon,Canada,"Peas, green",0.01,445,4.45
Germany,Austria,"Peas, green",125.78,445,55972.1
Germany,Belgium,"Peas, green",1549.52,445,689536.4
Germany,Croatia,"Peas, green",0.19,445,84.55
Germany,Cyprus,"Peas, green",0.02,445,8.9
Germany,Czechia,"Peas, green",11.96,445,5322.200000000001
Germany,Denmark,"Peas, green",6.64,445,2954.7999999999997
Greece,Bulgaria,"Peas, green",0.02,445,8.9
Greece,Cyprus,"Peas, green",0.07,445,31.150000000000002
Guatemala,Belgium,"Peas, green",762.76,445,339428.2
Guatemala,Canada,"Peas, green",66.96,445,29797.199999999997
Guatemala,Costa Rica,"Peas, green",0.03,445,13.35
Guatemala,Denmark,"Peas, green",0.87,445,387.15
Honduras,Canada,"Peas, green",0.04,445,17.8
Hungary,Austria,"Peas, green",2153.66,445,958378.7
India,Australia,"Peas, green",1.33,445,591.85
India,Bahrain,"Peas, green",2.23,445,992.35
India,Bangladesh,"Peas, green",15.09,445,6715.05
India,Bhutan,"Peas, green",198.51,445,88336.95
India,Canada,"Peas, green",30.03,445,13363.35
India,"China, Hong Kong SAR","Peas, green",0.48,445,213.6
India,Democratic Republic of the Congo,"Peas, green",2.4,445,1068.0
Indonesia,Bahrain,"Peas, green",0.01,445,4.45
Indonesia,"China, Taiwan Province of","Peas, green",14.79,445,6581.549999999999
Iran (Islamic Republic of),Azerbaijan,"Peas, green",0.03,445,13.35
Italy,Austria,"Peas, green",37.87,445,16852.149999999998
Italy,Belgium,"Peas, green",24.64,445,10964.800000000001
Italy,Bulgaria,"Peas, green",4.61,445,2051.4500000000003
Italy,Croatia,"Peas, green",8.09,445,3600.0499999999997
Italy,Cyprus,"Peas, green",0.04,445,17.8
Italy,Czechia,"Peas, green",208.56,445,92809.2
Italy,Denmark,"Peas, green",743.86,445,331017.7
Jamaica,Canada,"Peas, green",0.57,445,253.64999999999998
Jordan,Bahrain,"Peas, green",2.11,445,938.9499999999999
Kenya,Australia,"Peas, green",3.27,445,1455.15
Kenya,Austria,"Peas, green",0.59,445,262.55
Kenya,Bahrain,"Peas, green",2.7,445,1201.5
Kenya,Belgium,"Peas, green",127.18,445,56595.100000000006
Kenya,Bulgaria,"Peas, green",0.28,445,124.60000000000001
Kenya,Canada,"Peas, green",43.3,445,19268.5
Kenya,"China, Hong Kong SAR","Peas, green",16.73,445,7444.85
Kenya,"China, mainland","Peas, green",0.35,445,155.75
Kenya,Democratic Republic of the Congo,"Peas, green",2.05,445,912.2499999999999
Kenya,Denmark,"Peas, green",12.72,445,5660.400000000001
Lebanon,Côte d'Ivoire,"Peas, green",0.02,445,8.9
Lithuania,Austria,"Peas, green",252.54,445,112380.3
Luxembourg,Azerbaijan,"Peas, green",0.32,445,142.4
Luxembourg,Belgium,"Peas, green",4.77,445,2122.6499999999996
Mexico,Canada,"Peas, green",136.69,445,60827.049999999996
Morocco,Belgium,"Peas, green",13.73,445,6109.85
Myanmar,Australia,"Peas, green",0.8,445,356.0
Myanmar,Bangladesh,"Peas, green",76.0,445,33820.0
Myanmar,"China, Taiwan Province of","Peas, green",0.75,445,333.75
Egypt,Netherlands (Kingdom of the),"Peas, green",1955.15,445,870041.75
Egypt,Oman,"Peas, green",0.65,445,289.25
Egypt,Palestine,"Peas, green",28.1,445,12504.5
Egypt,Russian Federation,"Peas, green",3.38,445,1504.1
Egypt,Saudi Arabia,"Peas, green",8.62,445,3835.8999999999996
Egypt,Seychelles,"Peas, green",0.97,445,431.65
Egypt,Slovenia,"Peas, green",17.16,445,7636.2
Egypt,South Africa,"Peas, green",38.39,445,17083.55
Egypt,Sri Lanka,"Peas, green",37.33,445,16611.85
Egypt,Sudan,"Peas, green",2.14,445,952.3000000000001
Egypt,United Arab Emirates,"Peas, green",0.09,445,40.05
Egypt,United Kingdom of Great Britain and Northern Ireland,"Peas, green",2541.22,445,1130842.9
Egypt,Yemen,"Peas, green",7.45,445,3315.25
Eswatini,South Africa,"Peas, green",8.46,445,3764.7000000000003
Eswatini,Switzerland,"Peas, green",0.02,445,8.9
Ethiopia,United Kingdom of Great Britain and Northern Ireland,"Peas, green",18.85,445,8388.25
Fiji,New Zealand,"Peas, green",3.48,445,1548.6
France,Netherlands (Kingdom of the),"Peas, green",3638.02,445,1618918.9
France,Norway,"Peas, green",0.07,445,31.150000000000002
France,Poland,"Peas, green",0.01,445,4.45
France,Portugal,"Peas, green",120.02,445,53408.9
France,Romania,"Peas, green",0.06,445,26.7
France,Singapore,"Peas, green",0.13,445,57.85
France,Slovenia,"Peas, green",0.04,445,17.8
France,Spain,"Peas, green",189.49,445,84323.05
France,Sweden,"Peas, green",0.04,445,17.8
France,Switzerland,"Peas, green",58.59,445,26072.550000000003
France,United Arab Emirates,"Peas, green",0.12,445,53.4
France,United Kingdom of Great Britain and Northern Ireland,"Peas, green",8.95,445,3982.7499999999995
France,United States of America,"Peas, green",5.11,445,2273.9500000000003
Germany,Netherlands (Kingdom of the),"Peas, green",4895.39,445,2178448.5500000003
Germany,Poland,"Peas, green",0.56,445,249.20000000000002
Germany,Romania,"Peas, green",0.02,445,8.9
Germany,Slovakia,"Peas, green",10.07,445,4481.150000000001
Germany,Spain,"Peas, green",1.14,445,507.29999999999995
Germany,Sweden,"Peas, green",5.73,445,2549.8500000000004
Germany,Switzerland,"Peas, green",269.27,445,119825.15
Germany,United Kingdom of Great Britain and Northern Ireland,"Peas, green",0.88,445,391.6
Germany,Uruguay,"Peas, green",0.01,445,4.45
Ghana,Switzerland,"Peas, green",0.24,445,106.8
Ghana,United Kingdom of Great Britain and Northern Ireland,"Peas, green",1.7,445,756.5
Greece,Romania,"Peas, green",1.3,445,578.5
Guatemala,Netherlands (Kingdom of the),"Peas, green",1660.25,445,738811.25
Guatemala,Nicaragua,"Peas, green",3.77,445,1677.65
Guatemala,Panama,"Peas, green",20.73,445,9224.85
Guatemala,Spain,"Peas, green",3.72,445,1655.4
Guatemala,United Kingdom of Great Britain and Northern Ireland,"Peas, green",1996.6,445,888487.0
Guatemala,United States of America,"Peas, green",23420.41,445,10422082.45
Guinea,Switzerland,"Peas, green",1.73,445,769.85
Hungary,Poland,"Peas, green",44.18,445,19660.1
Hungary,Romania,"Peas, green",249.76,445,111143.2
Hungary,Serbia,"Peas, green",20.0,445,8900.0
Hungary,Slovakia,"Peas, green",2.88,445,1281.6
Hungary,Switzerland,"Peas, green",98.24,445,43716.799999999996
Hungary,United Kingdom of Great Britain and Northern Ireland,"Peas, green",0.01,445,4.45
Iceland,United Kingdom of Great Britain and Northern Ireland,"Peas, green",0.0,445,0.0
India,Netherlands (Kingdom of the),"Peas, green",0.02,445,8.9
India,Oman,"Peas, green",0.3,445,133.5
India,Qatar,"Peas, green",0.1,445,44.5
India,Singapore,"Peas, green",2.69,445,1197.05
India,United Arab Emirates,"Peas, green",662.16,445,294661.2
India,United Kingdom of Great Britain and Northern Ireland,"Peas, green",0.44,445,195.8
India,United States of America,"Peas, green",76.57,445,34073.649999999994
Indonesia,Singapore,"Peas, green",0.93,445,413.85
Indonesia,United Arab Emirates,"Peas, green",0.02,445,8.9
Iran (Islamic Republic of),United Arab Emirates,"Peas, green",9.64,445,4289.8
Iran (Islamic Republic of),United Kingdom of Great Britain and Northern Ireland,"Peas, green",6.17,445,2745.65
Ireland,Republic of Korea,"Peas, green",0.0,445,0.0
Ireland,United Kingdom of Great Britain and Northern Ireland,"Peas, green",13.56,445,6034.2
Italy,Netherlands (Kingdom of the),"Peas, green",64.25,445,28591.25
Italy,Poland,"Peas, green",17.07,445,7596.150000000001
Italy,Portugal,"Peas, green",0.2,445,89.0
Italy,Republic of Moldova,"Peas, green",0.32,445,142.4
Italy,Romania,"Peas, green",25.3,445,11258.5
Italy,Slovakia,"Peas, green",320.23,445,142502.35
Italy,Slovenia,"Peas, green",6.49,445,2888.05
Italy,Spain,"Peas, green",1.97,445,876.65
Italy,Sweden,"Peas, green",7.89,445,3511.0499999999997
Italy,Switzerland,"Peas, green",127.1,445,56559.5
Italy,United Kingdom of Great Britain and Northern Ireland,"Peas, green",106.37,445,47334.65
Italy,United States of America,"Peas, green",0.1,445,44.5
Jamaica,United Kingdom of Great Britain and Northern Ireland,"Peas, green",0.06,445,26.7
Jordan,Qatar,"Peas, green",1.05,445,467.25
Jordan,Saudi Arabia,"Peas, green",2.61,445,1161.45
Jordan,United Arab Emirates,"Peas, green",0.94,445,418.29999999999995
Kazakhstan,Russian Federation,"Peas, green",3.6,445,1602.0
Kazakhstan,Uzbekistan,"Peas, green",1220.3,445,543033.5
Kenya,Netherlands (Kingdom of the),"Peas, green",1326.02,445,590078.9
Kenya,Norway,"Peas, green",8.59,445,3822.5499999999997
Kenya,Qatar,"Peas, green",9.28,445,4129.599999999999
Kenya,Russian Federation,"Peas, green",0.39,445,173.55
Kenya,Saudi Arabia,"Peas, green",4.17,445,1855.6499999999999
Kenya,Singapore,"Peas, green",0.12,445,53.4
Kenya,South Africa,"Peas, green",288.34,445,128311.29999999999
Kenya,Sweden,"Peas, green",0.05,445,22.25
Kenya,Switzerland,"Peas, green",41.86,445,18627.7
Kenya,Uganda,"Peas, green",1600.0,445,712000.0
Kenya,United Arab Emirates,"Peas, green",140.51,445,62526.95
Kenya,United Kingdom of Great Britain and Northern Ireland,"Peas, green",1951.61,445,868466.45
Latvia,Norway,"Peas, green",1300.0,445,578500.0
Latvia,Sweden,"Peas, green",0.0,445,0.0
Latvia,United Kingdom of Great Britain and Northern Ireland,"Peas, green",3711.76,445,1651733.2000000002
Lebanon,Oman,"Peas, green",0.17,445,75.65
Lebanon,Qatar,"Peas, green",7.41,445,3297.4500000000003
Lebanon,Türkiye,"Peas, green",13.0,445,5785.0
Lebanon,United Arab Emirates,"Peas, green",12.2,445,5429.0
Lebanon,United Kingdom of Great Britain and Northern Ireland,"Peas, green",0.43,445,191.35
Lithuania,Netherlands (Kingdom of the),"Peas, green",232.26,445,103355.7
Lithuania,Poland,"Peas, green",71.9,445,31995.500000000004
Lithuania,Romania,"Peas, green",22.0,445,9790.0
Malawi,South Africa,"Peas, green",0.0,445,0.0
Malaysia,Papua New Guinea,"Peas, green",0.27,445,120.15
Malaysia,Singapore,"Peas, green",279.26,445,124270.7
Mexico,United States of America,"Peas, green",14390.07,445,6403581.149999999
Morocco,Netherlands (Kingdom of the),"Peas, green",73.38,445,32654.1
Morocco,Niger,"Peas, green",0.28,445,124.60000000000001
Morocco,Portugal,"Peas, green",2.4,445,1068.0
Morocco,Qatar,"Peas, green",0.18,445,80.1
Morocco,Saudi Arabia,"Peas, green",0.28,445,124.60000000000001
Morocco,Sierra Leone,"Peas, green",0.02,445,8.9
Morocco,Spain,"Peas, green",164.12,445,73033.40000000001
Morocco,United Kingdom of Great Britain and Northern Ireland,"Peas, green",4.53,445,2015.8500000000001
Mozambique,Singapore,"Peas, green",0.01,445,4.45
Myanmar,Singapore,"Peas, green",26.25,445,11681.25
Myanmar,United States of America,"Peas, green",5.94,445,2643.3
Namibia,Zambia,"Peas, green",0.42,445,186.9
New Zealand,Bahrain,"Peas, green",0.06,445,26.7
New Zealand,Cook Islands,"Peas, green",0.0,445,0.0
Nigeria,Benin,"Peas, green",3.88,445,1726.6
North Macedonia,Czechia,"Peas, green",0.78,445,347.1
Pakistan,Bahrain,"Peas, green",1.88,445,836.5999999999999
Pakistan,Canada,"Peas, green",2.58,445,1148.1000000000001
Peru,Canada,"Peas, green",2.16,445,961.2
Peru,"China, Hong Kong SAR","Peas, green",1.18,445,525.1
Peru,Denmark,"Peas, green",60.3,445,26833.5
Philippines,Canada,"Peas, green",0.8,445,356.0
Poland,Austria,"Peas, green",0.01,445,4.45
Poland,Belarus,"Peas, green",0.04,445,17.8
Poland,Belgium,"Peas, green",36.77,445,16362.650000000001
Poland,Czechia,"Peas, green",106.72,445,47490.4
Poland,Denmark,"Peas, green",5.28,445,2349.6
Portugal,Angola,"Peas, green",0.15,445,66.75
Portugal,Belgium,"Peas, green",1.01,445,449.45
Portugal,Brazil,"Peas, green",29.5,445,13127.5
Portugal,Cabo Verde,"Peas, green",0.01,445,4.45
Portugal,Denmark,"Peas, green",719.38,445,320124.1
Romania,Austria,"Peas, green",1013.08,445,450820.60000000003
Romania,Belgium,"Peas, green",102.5,445,45612.5
Romania,Bulgaria,"Peas, green",121.19,445,53929.549999999996
Russian Federation,Armenia,"Peas, green",22.0,445,9790.0
Russian Federation,Bulgaria,"Peas, green",0.01,445,4.45
Serbia,Bosnia and Herzegovina,"Peas, green",25.0,445,11125.0
Singapore,Brunei Darussalam,"Peas, green",1.64,445,729.8
Singapore,"China, Hong Kong SAR","Peas, green",2.1,445,934.5
Slovakia,Austria,"Peas, green",290.82,445,129414.9
Slovakia,Czechia,"Peas, green",886.64,445,394554.8
South Africa,Angola,"Peas, green",0.01,445,4.45
South Africa,Botswana,"Peas, green",61.42,445,27331.9
South Africa,Democratic Republic of the Congo,"Peas, green",0.08,445,35.6
Spain,Austria,"Peas, green",0.85,445,378.25
Spain,Belgium,"Peas, green",18.59,445,8272.55
Spain,Bulgaria,"Peas, green",0.22,445,97.9
Spain,"China, Hong Kong SAR","Peas, green",0.0,445,0.0
Spain,Czechia,"Peas, green",58.23,445,25912.35
Spain,Denmark,"Peas, green",2.16,445,961.2
Sweden,Denmark,"Peas, green",1.54,445,685.3000000000001
Thailand,Bahrain,"Peas, green",0.0,445,0.0
Thailand,Bangladesh,"Peas, green",0.14,445,62.300000000000004
Thailand,Cambodia,"Peas, green",45.72,445,20345.399999999998
Thailand,"China, Hong Kong SAR","Peas, green",0.0,445,0.0
Thailand,"China, Taiwan Province of","Peas, green",693.69,445,308692.05000000005
Thailand,Czechia,"Peas, green",0.01,445,4.45
Thailand,Denmark,"Peas, green",0.0,445,0.0
Trinidad and Tobago,Canada,"Peas, green",0.02,445,8.9
Trinidad and Tobago,Colombia,"Peas, green",0.01,445,4.45
Tunisia,Canada,"Peas, green",0.22,445,97.9
Türkiye,Cameroon,"Peas, green",0.04,445,17.8
Uganda,Bahrain,"Peas, green",0.05,445,22.25
Uganda,Belgium,"Peas, green",0.16,445,71.2
Uganda,Canada,"Peas, green",9.78,445,4352.099999999999
United Arab Emirates,Bahrain,"Peas, green",2.65,445,1179.25
United Arab Emirates,Bangladesh,"Peas, green",480.8,445,213956.0
United Arab Emirates,Burkina Faso,"Peas, green",0.02,445,8.9
United Arab Emirates,Djibouti,"Peas, green",144.15,445,64146.75
United Kingdom of Great Britain and Northern Ireland,Belgium,"Peas, green",28.5,445,12682.5
United Kingdom of Great Britain and Northern Ireland,Canada,"Peas, green",0.21,445,93.45
United Kingdom of Great Britain and Northern Ireland,Czechia,"Peas, green",4.0,445,1780.0
United States of America,Australia,"Peas, green",4.5,445,2002.5
United States of America,Bahamas,"Peas, green",20.27,445,9020.15
United States of America,Barbados,"Peas, green",0.54,445,240.3
United States of America,Canada,"Peas, green",9187.11,445,4088263.95
United States of America,"China, mainland","Peas, green",130.69,445,58157.049999999996
United States of America,Colombia,"Peas, green",1300.59,445,578762.5499999999
United States of America,Cuba,"Peas, green",1.18,445,525.1
United States of America,Dominican Republic,"Peas, green",14.05,445,6252.25
Viet Nam,Canada,"Peas, green",0.0,445,0.0
Viet Nam,"China, Taiwan Province of","Peas, green",1520.56,445,676649.2
Viet Nam,Czechia,"Peas, green",0.02,445,8.9
New Zealand,Fiji,"Peas, green",0.01,445,4.45
New Zealand,Germany,"Peas, green",20.0,445,8900.0
Oman,Maldives,"Peas, green",2.5,445,1112.5
Pakistan,Kuwait,"Peas, green",2.85,445,1268.25
Peru,Japan,"Peas, green",95.83,445,42644.35
Poland,Estonia,"Peas, green",0.46,445,204.70000000000002
Poland,Finland,"Peas, green",241.16,445,107316.2
Poland,France,"Peas, green",72.01,445,32044.45
Poland,Germany,"Peas, green",9699.07,445,4316086.149999999
Poland,Greece,"Peas, green",0.04,445,17.8
Poland,Ireland,"Peas, green",0.1,445,44.5
Poland,Latvia,"Peas, green",0.01,445,4.45
Poland,Lithuania,"Peas, green",2.01,445,894.4499999999999
Portugal,France,"Peas, green",1.45,445,645.25
Portugal,Germany,"Peas, green",0.51,445,226.95000000000002
Portugal,Guinea,"Peas, green",0.0,445,0.0
Portugal,Luxembourg,"Peas, green",0.57,445,253.64999999999998
Portugal,Mozambique,"Peas, green",0.32,445,142.4
Romania,France,"Peas, green",0.1,445,44.5
Romania,Germany,"Peas, green",737.92,445,328374.39999999997
Romania,Hungary,"Peas, green",90.84,445,40423.8
Romania,Italy,"Peas, green",2045.3,445,910158.5
Russian Federation,Kazakhstan,"Peas, green",216.03,445,96133.35
Russian Federation,Kyrgyzstan,"Peas, green",41.68,445,18547.6
Saint Kitts and Nevis,Maldives,"Peas, green",0.09,445,40.05
Saudi Arabia,Indonesia,"Peas, green",2.0,445,890.0
Saudi Arabia,Kenya,"Peas, green",2.52,445,1121.4
Saudi Arabia,Maldives,"Peas, green",0.01,445,4.45
Singapore,Indonesia,"Peas, green",0.26,445,115.7
Singapore,Malaysia,"Peas, green",2.74,445,1219.3000000000002
Slovakia,Finland,"Peas, green",3.0,445,1335.0
Slovakia,Germany,"Peas, green",2513.96,445,1118712.2
Slovakia,Hungary,"Peas, green",4906.0,445,2183170.0
Slovakia,Italy,"Peas, green",614.21,445,273323.45
Slovenia,Germany,"Peas, green",23.86,445,10617.699999999999
Slovenia,Montenegro,"Peas, green",0.3,445,133.5
South Africa,Eswatini,"Peas, green",1.3,445,578.5
South Africa,Ghana,"Peas, green",0.01,445,4.45
South Africa,Lesotho,"Peas, green",20.16,445,8971.2
South Africa,Malawi,"Peas, green",0.59,445,262.55
South Africa,Mauritius,"Peas, green",0.15,445,66.75
South Africa,Mozambique,"Peas, green",2.79,445,1241.55
South Africa,Namibia,"Peas, green",12.51,445,5566.95
Spain,Estonia,"Peas, green",2.92,445,1299.3999999999999
Spain,France,"Peas, green",1360.12,445,605253.3999999999
Spain,Germany,"Peas, green",82.97,445,36921.65
Spain,Greece,"Peas, green",0.15,445,66.75
Spain,Hungary,"Peas, green",0.15,445,66.75
Spain,Iceland,"Peas, green",0.16,445,71.2
Spain,Ireland,"Peas, green",1.36,445,605.2
Spain,Italy,"Peas, green",138.36,445,61570.200000000004
Spain,Latvia,"Peas, green",1.76,445,783.2
Spain,Lithuania,"Peas, green",0.27,445,120.15
Spain,Malaysia,"Peas, green",0.01,445,4.45
Spain,Malta,"Peas, green",0.74,445,329.3
Spain,Morocco,"Peas, green",0.01,445,4.45
Sweden,Finland,"Peas, green",6.75,445,3003.75
Switzerland,France,"Peas, green",0.05,445,22.25
Thailand,Germany,"Peas, green",0.09,445,40.05
Thailand,India,"Peas, green",5.52,445,2456.3999999999996
Thailand,Japan,"Peas, green",148.6,445,66127.0
Thailand,Kazakhstan,"Peas, green",0.02,445,8.9
Thailand,Lao People's Democratic Republic,"Peas, green",6.34,445,2821.2999999999997
Thailand,Malaysia,"Peas, green",9.36,445,4165.2
Thailand,Maldives,"Peas, green",0.0,445,0.0
Thailand,Myanmar,"Peas, green",0.22,445,97.9
Tunisia,France,"Peas, green",113.75,445,50618.75
Tunisia,Germany,"Peas, green",38.9,445,17310.5
Tunisia,Italy,"Peas, green",28.88,445,12851.6
Tunisia,Libya,"Peas, green",216.65,445,96409.25
Türkiye,France,"Peas, green",0.43,445,191.35
Türkiye,Georgia,"Peas, green",3.04,445,1352.8
Türkiye,Germany,"Peas, green",1.8,445,801.0
Türkiye,Malaysia,"Peas, green",0.14,445,62.300000000000004
Uganda,Ireland,"Peas, green",0.17,445,75.65
